filename,target,label,length
positive_0271.npz,Kepler-0271,1,0
negative_0514.npz,KIC 0514,0,0
positive_0308.npz,Kepler-0308,1,0
positive_0616.npz,Kepler-0616,1,0
positive_1180.npz,Kepler-1180,1,0
negative_0556.npz,KIC 0556,0,0
negative_0437.npz,KIC 0437,0,0
negative_0535.npz,KIC 0535,0,0
positive_0769.npz,Kepler-0769,1,0
positive_1060.npz,Kepler-1060,1,0
positive_0335.npz,Kepler-0335,1,0
positive_0840.npz,Kepler-0840,1,0
negative_0109.npz,KIC 0109,0,0
positive_0881.npz,Kepler-0881,1,0
negative_0300.npz,KIC 0300,0,0
positive_0855.npz,Kepler-0855,1,0
positive_0543.npz,Kepler-0543,1,0
negative_0012.npz,KIC 0012,0,0
positive_0652.npz,Kepler-0652,1,0
negative_0580.npz,KIC 0580,0,0
positive_1085.npz,Kepler-1085,1,0
positive_0516.npz,Kepler-0516,1,0
negative_0279.npz,KIC 0279,0,0
negative_0550.npz,KIC 0550,0,0
negative_0199.npz,KIC 0199,0,0
positive_0465.npz,Kepler-0465,1,0
positive_1057.npz,Kepler-1057,1,0
negative_0144.npz,KIC 0144,0,0
positive_0490.npz,Kepler-0490,1,0
positive_0586.npz,Kepler-0586,1,0
positive_0943.npz,Kepler-0943,1,0
positive_0129.npz,Kepler-0129,1,0
positive_0065.npz,Kepler-0065,1,0
positive_0970.npz,Kepler-0970,1,0
positive_0281.npz,Kepler-0281,1,0
positive_0205.npz,Kepler-0205,1,0
negative_0266.npz,KIC 0266,0,0
negative_0005.npz,KIC 0005,0,0
negative_0374.npz,KIC 0374,0,0
positive_0791.npz,Kepler-0791,1,0
negative_0333.npz,KIC 0333,0,0
positive_0647.npz,Kepler-0647,1,0
positive_0256.npz,Kepler-0256,1,0
positive_0875.npz,Kepler-0875,1,0
negative_0553.npz,KIC 0553,0,0
positive_1082.npz,Kepler-1082,1,0
positive_0711.npz,Kepler-0711,1,0
negative_0448.npz,KIC 0448,0,0
positive_0994.npz,Kepler-0994,1,0
negative_0394.npz,KIC 0394,0,0
positive_1123.npz,Kepler-1123,1,0
positive_0733.npz,Kepler-0733,1,0
negative_0280.npz,KIC 0280,0,0
negative_0643.npz,KIC 0643,0,0
positive_0488.npz,Kepler-0488,1,0
positive_0035.npz,Kepler-0035,1,0
negative_0393.npz,KIC 0393,0,0
positive_0732.npz,Kepler-0732,1,0
positive_0203.npz,Kepler-0203,1,0
negative_0531.npz,KIC 0531,0,0
positive_0412.npz,Kepler-0412,1,0
positive_1118.npz,Kepler-1118,1,0
negative_0183.npz,KIC 0183,0,0
negative_0057.npz,KIC 0057,0,0
positive_0878.npz,Kepler-0878,1,0
negative_0395.npz,KIC 0395,0,0
negative_0543.npz,KIC 0543,0,0
positive_0305.npz,Kepler-0305,1,0
positive_0086.npz,Kepler-0086,1,0
positive_1092.npz,Kepler-1092,1,0
positive_0985.npz,Kepler-0985,1,0
positive_0506.npz,Kepler-0506,1,0
negative_0041.npz,KIC 0041,0,0
positive_0451.npz,Kepler-0451,1,0
positive_0030.npz,Kepler-0030,1,0
positive_1148.npz,Kepler-1148,1,0
positive_0253.npz,Kepler-0253,1,0
negative_0118.npz,KIC 0118,0,0
negative_0305.npz,KIC 0305,0,0
negative_0220.npz,KIC 0220,0,0
positive_0608.npz,Kepler-0608,1,0
positive_1243.npz,Kepler-1243,1,0
negative_0236.npz,KIC 0236,0,0
positive_1078.npz,Kepler-1078,1,0
negative_0542.npz,KIC 0542,0,0
positive_0524.npz,Kepler-0524,1,0
negative_0485.npz,KIC 0485,0,0
negative_0048.npz,KIC 0048,0,0
negative_0234.npz,KIC 0234,0,0
positive_1144.npz,Kepler-1144,1,0
positive_0219.npz,Kepler-0219,1,0
negative_0574.npz,KIC 0574,0,0
positive_0116.npz,Kepler-0116,1,0
positive_1041.npz,Kepler-1041,1,0
positive_0937.npz,Kepler-0937,1,0
negative_0429.npz,KIC 0429,0,0
negative_0362.npz,KIC 0362,0,0
negative_0625.npz,KIC 0625,0,0
negative_0016.npz,KIC 0016,0,0
positive_0113.npz,Kepler-0113,1,0
positive_0941.npz,Kepler-0941,1,0
negative_0248.npz,KIC 0248,0,0
positive_0455.npz,Kepler-0455,1,0
positive_1052.npz,Kepler-1052,1,0
negative_0524.npz,KIC 0524,0,0
negative_0324.npz,KIC 0324,0,0
negative_0307.npz,KIC 0307,0,0
positive_0991.npz,Kepler-0991,1,0
positive_0480.npz,Kepler-0480,1,0
positive_0974.npz,Kepler-0974,1,0
positive_0090.npz,Kepler-0090,1,0
positive_1043.npz,Kepler-1043,1,0
negative_0464.npz,KIC 0464,0,0
positive_1135.npz,Kepler-1135,1,0
positive_1080.npz,Kepler-1080,1,0
positive_0010.npz,Kepler-0010,1,0
negative_0163.npz,KIC 0163,0,0
negative_0615.npz,KIC 0615,0,0
positive_1177.npz,Kepler-1177,1,0
negative_0090.npz,KIC 0090,0,0
positive_0029.npz,Kepler-0029,1,0
positive_0575.npz,Kepler-0575,1,0
negative_0221.npz,KIC 0221,0,0
negative_0511.npz,KIC 0511,0,0
positive_0972.npz,Kepler-0972,1,0
positive_0367.npz,Kepler-0367,1,0
positive_1140.npz,Kepler-1140,1,0
positive_0297.npz,Kepler-0297,1,0
negative_0310.npz,KIC 0310,0,0
negative_0073.npz,KIC 0073,0,0
negative_0116.npz,KIC 0116,0,0
positive_0829.npz,Kepler-0829,1,0
negative_0424.npz,KIC 0424,0,0
negative_0169.npz,KIC 0169,0,0
negative_0403.npz,KIC 0403,0,0
positive_0351.npz,Kepler-0351,1,0
negative_0370.npz,KIC 0370,0,0
positive_1224.npz,Kepler-1224,1,0
negative_0246.npz,KIC 0246,0,0
positive_0658.npz,Kepler-0658,1,0
negative_0065.npz,KIC 0065,0,0
positive_0044.npz,Kepler-0044,1,0
positive_0940.npz,Kepler-0940,1,0
negative_0293.npz,KIC 0293,0,0
negative_0190.npz,KIC 0190,0,0
positive_0651.npz,Kepler-0651,1,0
negative_0011.npz,KIC 0011,0,0
negative_0154.npz,KIC 0154,0,0
negative_0083.npz,KIC 0083,0,0
positive_0534.npz,Kepler-0534,1,0
positive_0936.npz,Kepler-0936,1,0
negative_0141.npz,KIC 0141,0,0
positive_0879.npz,Kepler-0879,1,0
negative_0518.npz,KIC 0518,0,0
positive_0181.npz,Kepler-0181,1,0
negative_0017.npz,KIC 0017,0,0
positive_0445.npz,Kepler-0445,1,0
positive_0210.npz,Kepler-0210,1,0
positive_0436.npz,Kepler-0436,1,0
positive_0643.npz,Kepler-0643,1,0
positive_0283.npz,Kepler-0283,1,0
positive_0149.npz,Kepler-0149,1,0
positive_0207.npz,Kepler-0207,1,0
positive_1249.npz,Kepler-1249,1,0
negative_0302.npz,KIC 0302,0,0
negative_0545.npz,KIC 0545,0,0
negative_0447.npz,KIC 0447,0,0
negative_0512.npz,KIC 0512,0,0
negative_0444.npz,KIC 0444,0,0
negative_0050.npz,KIC 0050,0,0
positive_1009.npz,Kepler-1009,1,0
negative_0002.npz,KIC 0002,0,0
positive_1156.npz,Kepler-1156,1,0
positive_1192.npz,Kepler-1192,1,0
negative_0108.npz,KIC 0108,0,0
negative_0261.npz,KIC 0261,0,0
positive_0874.npz,Kepler-0874,1,0
negative_0075.npz,KIC 0075,0,0
positive_0779.npz,Kepler-0779,1,0
negative_0332.npz,KIC 0332,0,0
negative_0607.npz,KIC 0607,0,0
positive_0048.npz,Kepler-0048,1,0
negative_0196.npz,KIC 0196,0,0
negative_0442.npz,KIC 0442,0,0
negative_0018.npz,KIC 0018,0,0
positive_0220.npz,Kepler-0220,1,0
positive_0887.npz,Kepler-0887,1,0
negative_0525.npz,KIC 0525,0,0
positive_0377.npz,Kepler-0377,1,0
negative_0436.npz,KIC 0436,0,0
negative_0162.npz,KIC 0162,0,0
negative_0139.npz,KIC 0139,0,0
negative_0291.npz,KIC 0291,0,0
positive_0988.npz,Kepler-0988,1,0
negative_0311.npz,KIC 0311,0,0
positive_0843.npz,Kepler-0843,1,0
negative_0581.npz,KIC 0581,0,0
negative_0632.npz,KIC 0632,0,0
positive_0942.npz,Kepler-0942,1,0
positive_1025.npz,Kepler-1025,1,0
negative_0630.npz,KIC 0630,0,0
positive_1167.npz,Kepler-1167,1,0
positive_0491.npz,Kepler-0491,1,0
negative_0568.npz,KIC 0568,0,0
negative_0074.npz,KIC 0074,0,0
negative_0292.npz,KIC 0292,0,0
negative_0587.npz,KIC 0587,0,0
negative_0573.npz,KIC 0573,0,0
negative_0533.npz,KIC 0533,0,0
positive_0948.npz,Kepler-0948,1,0
positive_1070.npz,Kepler-1070,1,0
negative_0104.npz,KIC 0104,0,0
negative_0283.npz,KIC 0283,0,0
positive_0825.npz,Kepler-0825,1,0
positive_0361.npz,Kepler-0361,1,0
negative_0493.npz,KIC 0493,0,0
negative_0265.npz,KIC 0265,0,0
positive_1099.npz,Kepler-1099,1,0
positive_0965.npz,Kepler-0965,1,0
positive_0032.npz,Kepler-0032,1,0
positive_0650.npz,Kepler-0650,1,0
positive_0150.npz,Kepler-0150,1,0
positive_0355.npz,Kepler-0355,1,0
positive_0626.npz,Kepler-0626,1,0
positive_0288.npz,Kepler-0288,1,0
positive_0353.npz,Kepler-0353,1,0
positive_0360.npz,Kepler-0360,1,0
positive_0728.npz,Kepler-0728,1,0
positive_0334.npz,Kepler-0334,1,0
positive_0244.npz,Kepler-0244,1,0
positive_0544.npz,Kepler-0544,1,0
positive_0734.npz,Kepler-0734,1,0
positive_0756.npz,Kepler-0756,1,0
negative_0107.npz,KIC 0107,0,0
negative_0490.npz,KIC 0490,0,0
positive_0457.npz,Kepler-0457,1,0
positive_0096.npz,Kepler-0096,1,0
positive_0680.npz,Kepler-0680,1,0
positive_0529.npz,Kepler-0529,1,0
negative_0552.npz,KIC 0552,0,0
positive_0853.npz,Kepler-0853,1,0
positive_0413.npz,Kepler-0413,1,0
negative_0263.npz,KIC 0263,0,0
positive_1039.npz,Kepler-1039,1,0
negative_0228.npz,KIC 0228,0,0
negative_0359.npz,KIC 0359,0,0
positive_1138.npz,Kepler-1138,1,0
positive_0886.npz,Kepler-0886,1,0
positive_0405.npz,Kepler-0405,1,0
positive_0938.npz,Kepler-0938,1,0
negative_0470.npz,KIC 0470,0,0
positive_1239.npz,Kepler-1239,1,0
positive_0419.npz,Kepler-0419,1,0
positive_1223.npz,Kepler-1223,1,0
positive_0774.npz,Kepler-0774,1,0
positive_0694.npz,Kepler-0694,1,0
negative_0319.npz,KIC 0319,0,0
positive_0535.npz,Kepler-0535,1,0
positive_0619.npz,Kepler-0619,1,0
positive_0662.npz,Kepler-0662,1,0
negative_0422.npz,KIC 0422,0,0
negative_0149.npz,KIC 0149,0,0
positive_0184.npz,Kepler-0184,1,0
positive_0034.npz,Kepler-0034,1,0
negative_0430.npz,KIC 0430,0,0
positive_0134.npz,Kepler-0134,1,0
negative_0364.npz,KIC 0364,0,0
positive_0865.npz,Kepler-0865,1,0
positive_1153.npz,Kepler-1153,1,0
positive_0828.npz,Kepler-0828,1,0
positive_0444.npz,Kepler-0444,1,0
negative_0446.npz,KIC 0446,0,0
positive_1109.npz,Kepler-1109,1,0
positive_1111.npz,Kepler-1111,1,0
negative_0428.npz,KIC 0428,0,0
positive_0155.npz,Kepler-0155,1,0
positive_0567.npz,Kepler-0567,1,0
positive_0602.npz,Kepler-0602,1,0
positive_0199.npz,Kepler-0199,1,0
positive_0964.npz,Kepler-0964,1,0
negative_0260.npz,KIC 0260,0,0
positive_0912.npz,Kepler-0912,1,0
positive_0243.npz,Kepler-0243,1,0
positive_1023.npz,Kepler-1023,1,0
positive_0206.npz,Kepler-0206,1,0
negative_0557.npz,KIC 0557,0,0
positive_0147.npz,Kepler-0147,1,0
positive_0472.npz,Kepler-0472,1,0
negative_0507.npz,KIC 0507,0,0
positive_0598.npz,Kepler-0598,1,0
positive_0471.npz,Kepler-0471,1,0
negative_0340.npz,KIC 0340,0,0
negative_0453.npz,KIC 0453,0,0
negative_0382.npz,KIC 0382,0,0
negative_0009.npz,KIC 0009,0,0
positive_1194.npz,Kepler-1194,1,0
negative_0612.npz,KIC 0612,0,0
negative_0185.npz,KIC 0185,0,0
positive_0190.npz,Kepler-0190,1,0
positive_0729.npz,Kepler-0729,1,0
positive_0123.npz,Kepler-0123,1,0
positive_0481.npz,Kepler-0481,1,0
positive_0083.npz,Kepler-0083,1,0
positive_1127.npz,Kepler-1127,1,0
positive_1186.npz,Kepler-1186,1,0
positive_1244.npz,Kepler-1244,1,0
positive_1241.npz,Kepler-1241,1,0
negative_0365.npz,KIC 0365,0,0
negative_0628.npz,KIC 0628,0,0
positive_1201.npz,Kepler-1201,1,0
positive_0327.npz,Kepler-0327,1,0
negative_0559.npz,KIC 0559,0,0
positive_0866.npz,Kepler-0866,1,0
positive_0683.npz,Kepler-0683,1,0
positive_0240.npz,Kepler-0240,1,0
positive_0699.npz,Kepler-0699,1,0
positive_0322.npz,Kepler-0322,1,0
positive_0507.npz,Kepler-0507,1,0
positive_0188.npz,Kepler-0188,1,0
positive_0432.npz,Kepler-0432,1,0
positive_0873.npz,Kepler-0873,1,0
positive_0013.npz,Kepler-0013,1,0
negative_0184.npz,KIC 0184,0,0
negative_0388.npz,KIC 0388,0,0
positive_0789.npz,Kepler-0789,1,0
negative_0338.npz,KIC 0338,0,0
positive_0021.npz,Kepler-0021,1,0
positive_0407.npz,Kepler-0407,1,0
positive_0555.npz,Kepler-0555,1,0
positive_1203.npz,Kepler-1203,1,0
positive_0552.npz,Kepler-0552,1,0
negative_0055.npz,KIC 0055,0,0
positive_1021.npz,Kepler-1021,1,0
positive_1044.npz,Kepler-1044,1,0
negative_0022.npz,KIC 0022,0,0
positive_0300.npz,Kepler-0300,1,0
positive_0398.npz,Kepler-0398,1,0
positive_0415.npz,Kepler-0415,1,0
negative_0044.npz,KIC 0044,0,0
negative_0412.npz,KIC 0412,0,0
negative_0026.npz,KIC 0026,0,0
positive_0761.npz,Kepler-0761,1,0
positive_0785.npz,Kepler-0785,1,0
negative_0320.npz,KIC 0320,0,0
negative_0513.npz,KIC 0513,0,0
positive_0191.npz,Kepler-0191,1,0
negative_0604.npz,KIC 0604,0,0
negative_0096.npz,KIC 0096,0,0
positive_1014.npz,Kepler-1014,1,0
positive_1045.npz,Kepler-1045,1,0
positive_0532.npz,Kepler-0532,1,0
positive_0423.npz,Kepler-0423,1,0
negative_0063.npz,KIC 0063,0,0
positive_0177.npz,Kepler-0177,1,0
negative_0072.npz,KIC 0072,0,0
positive_1086.npz,Kepler-1086,1,0
negative_0452.npz,KIC 0452,0,0
positive_0890.npz,Kepler-0890,1,0
negative_0239.npz,KIC 0239,0,0
positive_0674.npz,Kepler-0674,1,0
negative_0133.npz,KIC 0133,0,0
positive_1083.npz,Kepler-1083,1,0
negative_0432.npz,KIC 0432,0,0
positive_0209.npz,Kepler-0209,1,0
positive_0427.npz,Kepler-0427,1,0
positive_0628.npz,Kepler-0628,1,0
positive_1094.npz,Kepler-1094,1,0
negative_0404.npz,KIC 0404,0,0
positive_1158.npz,Kepler-1158,1,0
negative_0122.npz,KIC 0122,0,0
negative_0078.npz,KIC 0078,0,0
positive_0329.npz,Kepler-0329,1,0
negative_0250.npz,KIC 0250,0,0
positive_0469.npz,Kepler-0469,1,0
positive_0798.npz,Kepler-0798,1,0
negative_0045.npz,KIC 0045,0,0
negative_0536.npz,KIC 0536,0,0
positive_0217.npz,Kepler-0217,1,0
positive_1175.npz,Kepler-1175,1,0
positive_0646.npz,Kepler-0646,1,0
positive_0284.npz,Kepler-0284,1,0
positive_0331.npz,Kepler-0331,1,0
positive_0800.npz,Kepler-0800,1,0
negative_0303.npz,KIC 0303,0,0
positive_0995.npz,Kepler-0995,1,0
positive_0982.npz,Kepler-0982,1,0
positive_0889.npz,Kepler-0889,1,0
negative_0152.npz,KIC 0152,0,0
negative_0431.npz,KIC 0431,0,0
positive_1206.npz,Kepler-1206,1,0
positive_0045.npz,Kepler-0045,1,0
negative_0153.npz,KIC 0153,0,0
positive_0313.npz,Kepler-0313,1,0
negative_0029.npz,KIC 0029,0,0
negative_0211.npz,KIC 0211,0,0
negative_0165.npz,KIC 0165,0,0
positive_0614.npz,Kepler-0614,1,0
positive_0133.npz,Kepler-0133,1,0
positive_1061.npz,Kepler-1061,1,0
positive_0570.npz,Kepler-0570,1,0
negative_0329.npz,KIC 0329,0,0
positive_0815.npz,Kepler-0815,1,0
negative_0516.npz,KIC 0516,0,0
positive_0354.npz,Kepler-0354,1,0
positive_0569.npz,Kepler-0569,1,0
positive_0156.npz,Kepler-0156,1,0
negative_0268.npz,KIC 0268,0,0
positive_0303.npz,Kepler-0303,1,0
positive_1058.npz,Kepler-1058,1,0
positive_0877.npz,Kepler-0877,1,0
positive_0076.npz,Kepler-0076,1,0
positive_0067.npz,Kepler-0067,1,0
negative_0089.npz,KIC 0089,0,0
positive_0482.npz,Kepler-0482,1,0
positive_1200.npz,Kepler-1200,1,0
positive_0860.npz,Kepler-0860,1,0
negative_0215.npz,KIC 0215,0,0
positive_0070.npz,Kepler-0070,1,0
positive_0214.npz,Kepler-0214,1,0
positive_0790.npz,Kepler-0790,1,0
negative_0351.npz,KIC 0351,0,0
negative_0383.npz,KIC 0383,0,0
positive_0670.npz,Kepler-0670,1,0
positive_1169.npz,Kepler-1169,1,0
positive_0058.npz,Kepler-0058,1,0
negative_0168.npz,KIC 0168,0,0
negative_0602.npz,KIC 0602,0,0
positive_1237.npz,Kepler-1237,1,0
negative_0620.npz,KIC 0620,0,0
negative_0082.npz,KIC 0082,0,0
negative_0023.npz,KIC 0023,0,0
positive_0961.npz,Kepler-0961,1,0
negative_0407.npz,KIC 0407,0,0
positive_0572.npz,Kepler-0572,1,0
positive_0072.npz,Kepler-0072,1,0
positive_0135.npz,Kepler-0135,1,0
negative_0609.npz,KIC 0609,0,0
positive_0382.npz,Kepler-0382,1,0
positive_0706.npz,Kepler-0706,1,0
positive_0538.npz,Kepler-0538,1,0
positive_1185.npz,Kepler-1185,1,0
positive_0459.npz,Kepler-0459,1,0
positive_0230.npz,Kepler-0230,1,0
positive_0730.npz,Kepler-0730,1,0
negative_0212.npz,KIC 0212,0,0
positive_0175.npz,Kepler-0175,1,0
positive_1210.npz,Kepler-1210,1,0
positive_1054.npz,Kepler-1054,1,0
positive_0453.npz,Kepler-0453,1,0
positive_0347.npz,Kepler-0347,1,0
positive_0966.npz,Kepler-0966,1,0
negative_0532.npz,KIC 0532,0,0
positive_0195.npz,Kepler-0195,1,0
negative_0352.npz,KIC 0352,0,0
positive_0719.npz,Kepler-0719,1,0
negative_0194.npz,KIC 0194,0,0
positive_0775.npz,Kepler-0775,1,0
negative_0641.npz,KIC 0641,0,0
negative_0290.npz,KIC 0290,0,0
negative_0037.npz,KIC 0037,0,0
positive_0780.npz,Kepler-0780,1,0
negative_0348.npz,KIC 0348,0,0
positive_0856.npz,Kepler-0856,1,0
positive_1032.npz,Kepler-1032,1,0
positive_0861.npz,Kepler-0861,1,0
positive_0597.npz,Kepler-0597,1,0
positive_0527.npz,Kepler-0527,1,0
positive_0833.npz,Kepler-0833,1,0
negative_0603.npz,KIC 0603,0,0
negative_0336.npz,KIC 0336,0,0
positive_0368.npz,Kepler-0368,1,0
negative_0158.npz,KIC 0158,0,0
positive_0593.npz,Kepler-0593,1,0
negative_0619.npz,KIC 0619,0,0
positive_0630.npz,Kepler-0630,1,0
positive_0895.npz,Kepler-0895,1,0
negative_0111.npz,KIC 0111,0,0
negative_0271.npz,KIC 0271,0,0
negative_0527.npz,KIC 0527,0,0
positive_0406.npz,Kepler-0406,1,0
positive_0402.npz,Kepler-0402,1,0
positive_0486.npz,Kepler-0486,1,0
positive_0435.npz,Kepler-0435,1,0
positive_0617.npz,Kepler-0617,1,0
positive_0095.npz,Kepler-0095,1,0
positive_0810.npz,Kepler-0810,1,0
positive_0278.npz,Kepler-0278,1,0
positive_0261.npz,Kepler-0261,1,0
negative_0143.npz,KIC 0143,0,0
positive_0963.npz,Kepler-0963,1,0
positive_0246.npz,Kepler-0246,1,0
positive_0777.npz,Kepler-0777,1,0
positive_1247.npz,Kepler-1247,1,0
negative_0039.npz,KIC 0039,0,0
negative_0192.npz,KIC 0192,0,0
positive_0338.npz,Kepler-0338,1,0
positive_1238.npz,Kepler-1238,1,0
negative_0094.npz,KIC 0094,0,0
positive_0712.npz,Kepler-0712,1,0
positive_0955.npz,Kepler-0955,1,0
positive_1091.npz,Kepler-1091,1,0
negative_0140.npz,KIC 0140,0,0
positive_1150.npz,Kepler-1150,1,0
positive_0316.npz,Kepler-0316,1,0
positive_0511.npz,Kepler-0511,1,0
positive_0492.npz,Kepler-0492,1,0
positive_0765.npz,Kepler-0765,1,0
positive_0081.npz,Kepler-0081,1,0
positive_0051.npz,Kepler-0051,1,0
positive_1227.npz,Kepler-1227,1,0
positive_0233.npz,Kepler-0233,1,0
positive_0599.npz,Kepler-0599,1,0
positive_0122.npz,Kepler-0122,1,0
positive_0980.npz,Kepler-0980,1,0
negative_0176.npz,KIC 0176,0,0
negative_0235.npz,KIC 0235,0,0
negative_0367.npz,KIC 0367,0,0
negative_0468.npz,KIC 0468,0,0
positive_0218.npz,Kepler-0218,1,0
positive_0124.npz,Kepler-0124,1,0
negative_0007.npz,KIC 0007,0,0
positive_0692.npz,Kepler-0692,1,0
positive_1189.npz,Kepler-1189,1,0
positive_1103.npz,Kepler-1103,1,0
positive_0001.npz,Kepler-0001,1,0
positive_0381.npz,Kepler-0381,1,0
negative_0274.npz,KIC 0274,0,0
positive_1110.npz,Kepler-1110,1,0
positive_0788.npz,Kepler-0788,1,0
negative_0275.npz,KIC 0275,0,0
positive_0999.npz,Kepler-0999,1,0
negative_0010.npz,KIC 0010,0,0
negative_0103.npz,KIC 0103,0,0
negative_0371.npz,KIC 0371,0,0
negative_0423.npz,KIC 0423,0,0
negative_0081.npz,KIC 0081,0,0
negative_0093.npz,KIC 0093,0,0
positive_0509.npz,Kepler-0509,1,0
positive_0773.npz,Kepler-0773,1,0
negative_0617.npz,KIC 0617,0,0
positive_0759.npz,Kepler-0759,1,0
negative_0483.npz,KIC 0483,0,0
positive_0309.npz,Kepler-0309,1,0
positive_0189.npz,Kepler-0189,1,0
positive_0959.npz,Kepler-0959,1,0
positive_0754.npz,Kepler-0754,1,0
negative_0070.npz,KIC 0070,0,0
negative_0569.npz,KIC 0569,0,0
positive_0504.npz,Kepler-0504,1,0
positive_0015.npz,Kepler-0015,1,0
positive_0098.npz,Kepler-0098,1,0
positive_0263.npz,Kepler-0263,1,0
positive_0896.npz,Kepler-0896,1,0
positive_0037.npz,Kepler-0037,1,0
negative_0486.npz,KIC 0486,0,0
positive_0107.npz,Kepler-0107,1,0
negative_0132.npz,KIC 0132,0,0
positive_0154.npz,Kepler-0154,1,0
positive_0559.npz,Kepler-0559,1,0
positive_0812.npz,Kepler-0812,1,0
positive_0550.npz,Kepler-0550,1,0
positive_0006.npz,Kepler-0006,1,0
negative_0334.npz,KIC 0334,0,0
negative_0380.npz,KIC 0380,0,0
negative_0377.npz,KIC 0377,0,0
negative_0517.npz,KIC 0517,0,0
negative_0244.npz,KIC 0244,0,0
positive_0613.npz,Kepler-0613,1,0
negative_0346.npz,KIC 0346,0,0
negative_0193.npz,KIC 0193,0,0
negative_0579.npz,KIC 0579,0,0
negative_0031.npz,KIC 0031,0,0
negative_0038.npz,KIC 0038,0,0
negative_0375.npz,KIC 0375,0,0
positive_1106.npz,Kepler-1106,1,0
positive_0311.npz,Kepler-0311,1,0
positive_1146.npz,Kepler-1146,1,0
positive_0441.npz,Kepler-0441,1,0
negative_0456.npz,KIC 0456,0,0
negative_0554.npz,KIC 0554,0,0
positive_0530.npz,Kepler-0530,1,0
negative_0076.npz,KIC 0076,0,0
negative_0585.npz,KIC 0585,0,0
positive_0476.npz,Kepler-0476,1,0
positive_0105.npz,Kepler-0105,1,0
positive_0120.npz,Kepler-0120,1,0
positive_0655.npz,Kepler-0655,1,0
negative_0593.npz,KIC 0593,0,0
positive_0379.npz,Kepler-0379,1,0
positive_0960.npz,Kepler-0960,1,0
positive_0990.npz,Kepler-0990,1,0
positive_0166.npz,Kepler-0166,1,0
positive_0054.npz,Kepler-0054,1,0
positive_0397.npz,Kepler-0397,1,0
positive_1067.npz,Kepler-1067,1,0
negative_0033.npz,KIC 0033,0,0
positive_0557.npz,Kepler-0557,1,0
positive_0916.npz,Kepler-0916,1,0
negative_0335.npz,KIC 0335,0,0
negative_0084.npz,KIC 0084,0,0
negative_0000.npz,KIC 0000,0,0
positive_0064.npz,Kepler-0064,1,0
positive_0350.npz,Kepler-0350,1,0
positive_0735.npz,Kepler-0735,1,0
positive_1063.npz,Kepler-1063,1,0
